"Coefficient","GlobalOnly","Balanced","GlobalBoost"
"round","-0.0346","-0.0639","-0.0479"
"","(-0.0898, 0.0205)","(-0.119, -0.00927)","(-0.102, 0.00614)"
"","p = 0.218","p = 0.0219","p = 0.0823"
"periodrounds_1_10","2.53","1.85","1.47"
"","(1.57, 3.48)","(0.916, 2.78)","(0.548, 2.39)"
"","p<0.001","p<0.001","p = 0.00179"
"round:periodrounds_1_10","-0.319","-0.197","-0.152"
"","(-0.401, -0.238)","(-0.276, -0.117)","(-0.23, -0.0745)"
"","p<0.001","p<0.001","p<0.001"
